name	nodeType	year	placeNameFromCompany	placeNameGeocoded	lat	lon	osmID	textModified	textOriginal	normalizationNotes	lineID
“Phoenix“ Aktiengesellschaft für Bergbau u. Hüttenbetrieb, Düsseldorf.	company	1926	Düsseldorf	Düsseldorf	51.2254018	6.7763137	62539	False	“Phoenix“ Aktiengesellschaft für Bergbau u. Hüttenbetrieb, Düsseldorf.		3
Porzellanfabrik Joseph Schachtel Aktiengesellschaft. Sophienau.	company	1926	Sophienau	Sophienau	51.5224574	7.1015572	2654275104	False	Porzellanfabrik Joseph Schachtel Aktiengesellschaft. Sophienau.		11
Dr. Heinr. Abbes & Co. A.-G. in Holzminden.	company	1926	Holzminden	Landkreis Holzminden	51.8989989	9.5741099	62510	False	Dr. Heinr. Abbes & Co. A.-G. in Holzminden.		15
Wilhelm Kathe A.-G. in Halle a. S.	company	1926	Halle a. S.	Halle am See	47.12474145	9.303656788360076	290111729	False	Wilhelm Kathe A.-G. in Halle a. S.		23
Allgemeine Maschinenbau-Gesellschaft A.-G., Chemnitz.	company	1926	Chemnitz	Chemnitz	50.8323531	12.918914	62594	False	Allgemeine Maschinenbau-Gesellschaft A.-G., Chemnitz.		31
Lokalbahn Aktiengesellschaft in München.	company	1926	München	München	48.1371079	11.5753822	62428	False	Lokalbahn Aktiengesellschaft in München.		49
A.-G. “Bote aus dem Riesengebirge“ in Hirschberg i. Schl.	company	1926	Hirschberg	Hirschberg	50.9031028	15.7344306	451269	False	A.-G. “Bote aus dem Riesengebirge“ in Hirschberg i. Schl.		53
Paragon Kassenblock Aktiengesellschaft in Berlin-Oberschöneweide.	company	1926	Berlin-Oberschöneweide	Oberschöneweide	52.4624563	13.5234762	413421	False	Paragon Kassenblock Aktiengesellschaft in Berlin-Oberschöneweide.		63
“Amiag“ Allgemeine Mineralöl-Industrie A.-G.	company	1926					-1	False	“Amiag“ Allgemeine Mineralöl-Industrie A.-G.		73
Mühlenbetriebs- u. Handels.-A.-G.	company	1926					-1	False	Mühlenbetriebs- u. Handels.-A.-G.		76
Radiosonanz A.-G.	company	1926					-1	False	Radiosonanz A.-G.		77
Ostdeutsche Stanz- u. Emaillierwerke A.-G., Cüstrin.	company	1926	Cüstrin	Küstrin-Kietz	52.5684775	14.6077687	388359953	False	Ostdeutsche Stanz- u. Emaillierwerke A.-G., Cüstrin.		79
“Kronprinz“ Versicherungs-A.-G., Köln.	company	1926	Köln	Köln	50.938361	6.959974	62578	False	“Kronprinz“ Versicherungs-A.-G., Köln.		93
Rhein. Braunkohlen-Syndikat G. m. b. H., Köln.	company	1926	Köln	Köln	50.938361	6.959974	62578	False	Rhein. Braunkohlen-Syndikat G. m. b. H., Köln.		96
Ringsdorff Werke A.-G., Mehlem.	company	1926	Mehlem	Mehlem	50.6615942	7.1908362	365414	False	Ringsdorff Werke A.-G., Mehlem.		97
Deutsche Bank Berlin.	company	1926	Berlin	Berlin	52.510885	13.3989367	62422	False	Deutsche Bank Berlin.	place	103
